Customers,,,,,,
customer_id,signup_date,signup_month,initial_plan,billing_cycle,acquisition_channel,region
CUST0180,2023-09-10,2023-09,Starter,Monthly,Outbound Sales,International
CUST0181,2023-09-09,2023-09,Starter,Monthly,Referral,North
CUST0182,2023-09-17,2023-09,Enterprise,Monthly,Organic Search,International
CUST0183,2023-09-17,2023-09,Growth,Monthly,Referral,International
CUST0184,2023-09-25,2023-09,Pro,Monthly,Organic Search,South
CUST0185,2023-10-10,2023-10,Starter,Monthly,Outbound Sales,West
CUST0186,2023-10-20,2023-10,Starter,Annual,Paid Ads,South
CUST0187,2023-10-14,2023-10,Starter,Monthly,Organic Search,South
CUST0188,2023-10-15,2023-10,Enterprise,Annual,Organic Search,South
CUST0189,2023-10-17,2023-10,Growth,Annual,Referral,West
CUST0190,2023-10-08,2023-10,Pro,Annual,Outbound Sales,International
CUST0191,2023-10-20,2023-10,Starter,Monthly,Partner,South
CUST0192,2023-10-26,2023-10,Pro,Monthly,Outbound Sales,East
CUST0193,2023-10-27,2023-10,Enterprise,Monthly,Organic Search,East
CUST0194,2023-10-19,2023-10,Growth,Annual,Outbound Sales,South
CUST0195,2023-10-11,2023-10,Starter,Monthly,Partner,International
CUST0196,2023-10-28,2023-10,Starter,Annual,Paid Ads,South
CUST0197,2023-10-25,2023-10,Growth,Monthly,Outbound Sales,North
CUST0198,2023-10-30,2023-10,Starter,Monthly,Outbound Sales,West
CUST0199,2023-10-21,2023-10,Enterprise,Annual,Paid Ads,West
CUST0200,2023-10-31,2023-10,Enterprise,Monthly,Partner,East
CUST0201,2023-10-15,2023-10,Pro,Annual,Organic Search,International
CUST0202,2023-10-05,2023-10,Pro,Monthly,Outbound Sales,South
CUST0203,2023-10-09,2023-10,Starter,Annual,Referral,International
CUST0204,2023-10-28,2023-10,Growth,Monthly,Referral,International
CUST0205,2023-10-23,2023-10,Starter,Monthly,Outbound Sales,International
CUST0206,2023-10-21,2023-10,Starter,Monthly,Referral,South
CUST0207,2023-10-04,2023-10,Growth,Monthly,Organic Search,West
CUST0208,2023-10-01,2023-10,Starter,Monthly,Organic Search,East
CUST0209,2023-10-12,2023-10,Pro,Monthly,Outbound Sales,South
CUST0210,2023-10-22,2023-10,Starter,Monthly,Paid Ads,South
CUST0211,2023-10-13,2023-10,Starter,Monthly,Partner,South
CUST0212,2023-10-08,2023-10,Growth,Monthly,Outbound Sales,East
CUST0213,2023-10-29,2023-10,Growth,Monthly,Outbound Sales,East
CUST0214,2023-10-15,2023-10,Growth,Monthly,Referral,International
CUST0215,2023-10-23,2023-10,Starter,Annual,Referral,West
CUST0216,2023-10-13,2023-10,Pro,Monthly,Outbound Sales,North
CUST0217,2023-10-19,2023-10,Starter,Monthly,Referral,East
CUST0218,2023-11-13,2023-11,Starter,Annual,Referral,North
CUST0219,2023-11-24,2023-11,Growth,Monthly,Organic Search,International
CUST0220,2023-11-29,2023-11,Growth,Annual,Referral,South
CUST0221,2023-11-21,2023-11,Growth,Monthly,Paid Ads,International
CUST0222,2023-11-25,2023-11,Starter,Annual,Unknown,North
CUST0223,2023-11-10,2023-11,Pro,Monthly,Outbound Sales,North
CUST0224,2023-11-03,2023-11,Growth,Annual,Referral,East
CUST0225,2023-11-05,2023-11,Growth,Monthly,Partner,East
CUST0226,2023-11-27,2023-11,Growth,Annual,Paid Ads,East
CUST0227,2023-11-26,2023-11,Pro,Annual,Referral,East
CUST0228,2023-11-03,2023-11,Pro,Monthly,Paid Ads,South
CUST0229,2023-11-13,2023-11,Pro,Annual,Partner,East
CUST0230,2023-11-09,2023-11,Starter,Monthly,Partner,North
CUST0231,2023-11-22,2023-11,Growth,Monthly,Referral,International
CUST0232,2023-11-12,2023-11,Starter,Monthly,Organic Search,South
CUST0233,2023-11-18,2023-11,Growth,Monthly,Referral,International
CUST0234,2023-11-27,2023-11,Starter,Monthly,Outbound Sales,East
CUST0235,2023-11-02,2023-11,Growth,Monthly,Organic Search,East
CUST0236,2023-11-08,2023-11,Enterprise,Monthly,Partner,South
CUST0237,2023-11-24,2023-11,Starter,Monthly,Partner,West
CUST0238,2023-11-29,2023-11,Growth,Annual,Outbound Sales,North
CUST0239,2023-11-09,2023-11,Pro,Monthly,Organic Search,East
CUST0240,2023-12-08,2023-12,Starter,Monthly,Referral,North
CUST0241,2023-12-29,2023-12,Enterprise,Monthly,Referral,North
CUST0242,2023-12-04,2023-12,Starter,Monthly,Outbound Sales,North
CUST0243,2023-12-20,2023-12,Growth,Monthly,Organic Search,North
CUST0244,2023-12-05,2023-12,Pro,Monthly,Partner,South
CUST0245,2023-12-07,2023-12,Starter,Annual,Partner,South
CUST0246,2023-12-25,2023-12,Pro,Monthly,Paid Ads,International
CUST0247,2023-12-05,2023-12,Starter,Annual,Paid Ads,International
CUST0248,2023-12-22,2023-12,Starter,Monthly,Organic Search,South
CUST0249,2023-12-08,2023-12,Starter,Annual,Partner,East
CUST0250,2023-12-05,2023-12,Starter,Monthly,Outbound Sales,International
CUST0251,2023-12-15,2023-12,Starter,Monthly,Referral,International
CUST0252,2023-12-08,2023-12,Growth,Monthly,Partner,North
CUST0253,2023-12-22,2023-12,Growth,Annual,Partner,East
CUST0254,2023-12-02,2023-12,Growth,Annual,Outbound Sales,West
CUST0255,2023-12-23,2023-12,Starter,Monthly,Outbound Sales,North
CUST0256,2023-12-05,2023-12,Pro,Monthly,Organic Search,South
CUST0257,2023-12-18,2023-12,Starter,Monthly,Referral,West
CUST0258,2024-01-15,2024-01,Enterprise,Monthly,Partner,International
CUST0259,2024-01-04,2024-01,Starter,Annual,Partner,South
CUST0260,2024-01-14,2024-01,Starter,Annual,Referral,West
CUST0261,2024-01-11,2024-01,Starter,Annual,Outbound Sales,East
CUST0262,2024-01-05,2024-01,Growth,Monthly,Outbound Sales,North
CUST0263,2024-01-14,2024-01,Starter,Monthly,Organic Search,East
CUST0264,2024-01-19,2024-01,Pro,Monthly,Partner,International
CUST0265,2024-01-12,2024-01,Starter,Monthly,Outbound Sales,North
CUST0266,2024-01-12,2024-01,Enterprise,Monthly,Organic Search,International
CUST0267,2024-01-16,2024-01,Growth,Monthly,Paid Ads,North
CUST0268,2024-01-04,2024-01,Starter,Monthly,Referral,International
CUST0269,2024-01-18,2024-01,Starter,Monthly,Partner,International
CUST0270,2024-01-20,2024-01,Growth,Monthly,Referral,North
CUST0271,2024-01-10,2024-01,Starter,Annual,Referral,East
CUST0272,2024-01-19,2024-01,Starter,Annual,Outbound Sales,North
CUST0273,2024-01-01,2024-01,Starter,Monthly,Organic Search,International
CUST0274,2024-01-11,2024-01,Starter,Monthly,Paid Ads,Unknown
CUST0275,2024-01-31,2024-01,Starter,Monthly,Partner,International
CUST0276,2024-01-06,2024-01,Starter,Monthly,Partner,North
CUST0277,2024-01-22,2024-01,Growth,Monthly,Outbound Sales,West
CUST0278,2024-01-07,2024-01,Growth,Monthly,Partner,North
CUST0279,2024-01-22,2024-01,Starter,Monthly,Partner,West
CUST0280,2024-02-08,2024-02,Growth,Monthly,Outbound Sales,International
CUST0281,2024-02-07,2024-02,Starter,Monthly,Paid Ads,East
CUST0282,2024-02-16,2024-02,Starter,Monthly,Outbound Sales,South
CUST0283,2024-02-08,2024-02,Starter,Monthly,Partner,International
CUST0284,2024-02-03,2024-02,Pro,Annual,Outbound Sales,North
CUST0285,2024-02-03,2024-02,Starter,Monthly,Referral,International
CUST0286,2024-02-21,2024-02,Starter,Monthly,Outbound Sales,East
CUST0287,2024-02-11,2024-02,Starter,Monthly,Paid Ads,International
CUST0288,2024-02-12,2024-02,Growth,Monthly,Organic Search,West
CUST0289,2024-02-19,2024-02,Pro,Monthly,Outbound Sales,International
CUST0290,2024-02-24,2024-02,Starter,Annual,Referral,South
CUST0291,2024-02-17,2024-02,Starter,Monthly,Organic Search,International
CUST0292,2024-02-12,2024-02,Growth,Annual,Referral,South
CUST0293,2024-02-07,2024-02,Starter,Monthly,Paid Ads,International
CUST0294,2024-02-03,2024-02,Starter,Annual,Paid Ads,West
CUST0295,2024-02-19,2024-02,Growth,Monthly,Outbound Sales,International
CUST0296,2024-03-11,2024-03,Growth,Annual,Referral,South
CUST0297,2024-03-21,2024-03,Starter,Monthly,Referral,East
CUST0298,2024-03-03,2024-03,Growth,Monthly,Referral,West
CUST0299,2024-03-27,2024-03,Growth,Monthly,Referral,North
CUST0300,2024-03-03,2024-03,Growth,Annual,Partner,International
CUST0301,2024-03-18,2024-03,Growth,Monthly,Organic Search,West
CUST0302,2024-03-07,2024-03,Pro,Monthly,Referral,International
CUST0303,2024-03-02,2024-03,Growth,Monthly,Outbound Sales,North
CUST0304,2024-03-23,2024-03,Pro,Annual,Organic Search,International
CUST0305,2024-03-23,2024-03,Growth,Monthly,Outbound Sales,West
CUST0306,2024-03-12,2024-03,Growth,Monthly,Referral,East
CUST0307,2024-03-22,2024-03,Starter,Annual,Partner,North
CUST0308,2024-03-03,2024-03,Pro,Monthly,Referral,North
CUST0309,2024-03-09,2024-03,Growth,Monthly,Partner,South
CUST0310,2024-03-05,2024-03,Starter,Monthly,Referral,East
CUST0311,2024-03-13,2024-03,Enterprise,Monthly,Paid Ads,International
CUST0312,2024-03-18,2024-03,Growth,Monthly,Outbound Sales,East
CUST0313,2024-03-27,2024-03,Pro,Monthly,Partner,North
CUST0314,2024-04-12,2024-04,Growth,Monthly,Organic Search,East
CUST0315,2024-04-11,2024-04,Starter,Annual,Outbound Sales,South
CUST0316,2024-04-03,2024-04,Starter,Monthly,Referral,North
CUST0317,2024-04-24,2024-04,Growth,Monthly,Partner,North
CUST0318,2024-04-20,2024-04,Growth,Annual,Paid Ads,International
CUST0319,2024-04-27,2024-04,Starter,Monthly,Partner,South
CUST0320,2024-04-12,2024-04,Growth,Monthly,Paid Ads,West
CUST0321,2024-04-26,2024-04,Growth,Annual,Outbound Sales,South
CUST0322,2024-04-26,2024-04,Growth,Monthly,Outbound Sales,South
CUST0323,2024-04-15,2024-04,Starter,Annual,Outbound Sales,East
CUST0324,2024-04-14,2024-04,Pro,Monthly,Paid Ads,South
CUST0325,2024-04-09,2024-04,Pro,Monthly,Organic Search,West
CUST0326,2024-05-04,2024-05,Pro,Monthly,Partner,North
CUST0327,2024-05-09,2024-05,Starter,Annual,Outbound Sales,International
CUST0328,2024-05-31,2024-05,Starter,Monthly,Paid Ads,West
CUST0329,2024-05-14,2024-05,Pro,Annual,Organic Search,West
CUST0330,2024-05-03,2024-05,Growth,Monthly,Referral,South
CUST0331,2024-05-27,2024-05,Starter,Annual,Referral,South
CUST0332,2024-05-27,2024-05,Starter,Monthly,Outbound Sales,South
CUST0333,2024-05-20,2024-05,Pro,Monthly,Organic Search,North
CUST0334,2024-05-05,2024-05,Starter,Monthly,Partner,International
CUST0335,2024-05-10,2024-05,Growth,Monthly,Paid Ads,East
CUST0336,2024-05-21,2024-05,Starter,Monthly,Partner,West
CUST0337,2024-05-16,2024-05,Starter,Annual,Partner,International
CUST0338,2024-05-08,2024-05,Starter,Monthly,Paid Ads,East
CUST0339,2024-05-08,2024-05,Starter,Monthly,Partner,West
CUST0340,2024-06-17,2024-06,Starter,Monthly,Referral,North
CUST0341,2024-06-26,2024-06,Enterprise,Monthly,Partner,International
CUST0342,2024-06-02,2024-06,Starter,Annual,Outbound Sales,East
CUST0343,2024-06-26,2024-06,Starter,Monthly,Organic Search,East
CUST0344,2024-06-04,2024-06,Starter,Monthly,Partner,East
CUST0345,2024-06-11,2024-06,Starter,Monthly,Paid Ads,West
CUST0346,2024-06-06,2024-06,Enterprise,Monthly,Paid Ads,North
CUST0347,2024-06-02,2024-06,Growth,Annual,Referral,South
CUST0348,2024-06-02,2024-06,Starter,Monthly,Referral,East
CUST0349,2024-06-18,2024-06,Growth,Annual,Outbound Sales,East
CUST0350,2024-06-10,2024-06,Starter,Monthly,Referral,North
CUST0351,2024-06-04,2024-06,Pro,Monthly,Referral,West
CUST0352,2024-06-29,2024-06,Pro,Annual,Outbound Sales,East
CUST0353,2024-06-16,2024-06,Enterprise,Monthly,Referral,International
CUST0354,2024-06-14,2024-06,Starter,Monthly,Organic Search,West
CUST0355,2024-06-18,2024-06,Growth,Annual,Referral,East
CUST0356,2024-06-10,2024-06,Starter,Monthly,Referral,West
CUST0357,2024-07-23,2024-07,Growth,Monthly,Outbound Sales,Unknown
CUST0358,2024-07-30,2024-07,Starter,Annual,Referral,International
CUST0359,2024-07-26,2024-07,Enterprise,Monthly,Organic Search,North
CUST0360,2024-07-17,2024-07,Growth,Monthly,Paid Ads,North
CUST0361,2024-07-26,2024-07,Starter,Monthly,Outbound Sales,North
CUST0362,2024-07-21,2024-07,Starter,Monthly,Referral,East
CUST0363,2024-07-20,2024-07,Starter,Monthly,Paid Ads,West
CUST0364,2024-07-25,2024-07,Enterprise,Monthly,Organic Search,International
CUST0365,2024-07-11,2024-07,Starter,Monthly,Referral,South
CUST0366,2024-07-06,2024-07,Enterprise,Monthly,Outbound Sales,International
CUST0367,2024-07-09,2024-07,Starter,Monthly,Referral,West
CUST0368,2024-07-23,2024-07,Starter,Monthly,Outbound Sales,South
CUST0369,2024-07-15,2024-07,Starter,Annual,Paid Ads,West
CUST0370,2024-07-31,2024-07,Enterprise,Annual,Referral,East
CUST0371,2024-07-10,2024-07,Growth,Monthly,Referral,South
CUST0372,2024-07-21,2024-07,Growth,Annual,Paid Ads,East
CUST0373,2024-07-07,2024-07,Growth,Monthly,Paid Ads,South
CUST0374,2024-07-18,2024-07,Pro,Monthly,Partner,East
CUST0375,2024-07-05,2024-07,Growth,Annual,Partner,North
CUST0376,2024-07-23,2024-07,Starter,Monthly,Outbound Sales,International
CUST0377,2024-07-19,2024-07,Starter,Monthly,Organic Search,South
CUST0378,2024-08-15,2024-08,Enterprise,Monthly,Outbound Sales,International
CUST0379,2024-08-25,2024-08,Starter,Annual,Partner,International
CUST0380,2024-08-14,2024-08,Starter,Annual,Partner,North
CUST0381,2024-08-10,2024-08,Pro,Monthly,Paid Ads,South
CUST0382,2024-08-12,2024-08,Starter,Annual,Partner,East
CUST0383,2024-08-21,2024-08,Pro,Monthly,Partner,East
CUST0384,2024-08-18,2024-08,Starter,Monthly,Organic Search,International
CUST0385,2024-08-19,2024-08,Growth,Monthly,Paid Ads,South
CUST0386,2024-08-20,2024-08,Growth,Annual,Referral,International
CUST0387,2024-08-03,2024-08,Starter,Annual,Organic Search,International
CUST0388,2024-08-19,2024-08,Starter,Monthly,Outbound Sales,International
CUST0389,2024-08-21,2024-08,Growth,Monthly,Partner,East
CUST0390,2024-08-08,2024-08,Growth,Monthly,Outbound Sales,East
CUST0391,2024-08-06,2024-08,Growth,Monthly,Outbound Sales,West
CUST0392,2024-08-20,2024-08,Growth,Monthly,Paid Ads,East
CUST0393,2024-08-28,2024-08,Pro,Monthly,Referral,West
CUST0394,2024-09-18,2024-09,Starter,Monthly,Organic Search,East
CUST0395,2024-09-15,2024-09,Starter,Monthly,Paid Ads,South
CUST0396,2024-09-13,2024-09,Starter,Monthly,Partner,West
CUST0397,2024-09-06,2024-09,Starter,Annual,Referral,International
CUST0398,2024-09-06,2024-09,Growth,Monthly,Outbound Sales,International
CUST0399,2024-09-16,2024-09,Growth,Annual,Organic Search,North
CUST0400,2024-09-08,2024-09,Enterprise,Monthly,Unknown,International
CUST0401,2024-09-16,2024-09,Starter,Monthly,Partner,West
