Subscription_Events,,,,,,
event_id,customer_id,event_date,event_type,plan_before,plan_after,mrr_amount
EVT00042,CUST0016,2023-01-25,New,,Growth,2074.17
EVT00043,CUST0016,2023-03-23,Upgrade,Growth,Pro,2905
EVT00044,CUST0016,2024-07-31,Upgrade,Pro,Enterprise,7470
EVT00045,CUST0017,2023-01-13,New,,Pro,4979.17
EVT00046,CUST0018,2023-01-29,New,,Starter,829.17
EVT00047,CUST0018,2023-04-18,Upgrade,Starter,Growth,1245
EVT00048,CUST0018,2023-09-23,Churn,Growth,,-2074.17
EVT00049,CUST0019,2023-01-30,New,,Growth,2499
EVT00050,CUST0019,2025-01-29,Upgrade,Growth,Pro,3500
EVT00051,CUST0020,2023-01-18,New,,Starter,999
EVT00052,CUST0020,2023-03-30,Churn,Starter,,-999
EVT00053,CUST0021,2023-01-19,New,,Growth,2499
EVT00054,CUST0021,2023-02-20,Downgrade,Growth,Starter,-1500
EVT00055,CUST0021,2023-10-26,Upgrade,Starter,Growth,1500
EVT00056,CUST0021,2024-02-12,Churn,Growth,,-2499
EVT00057,CUST0022,2023-01-17,New,,Starter,829.17
EVT00058,CUST0022,2023-03-08,Upgrade,Starter,Growth,1245
EVT00059,CUST0022,2025-12-22,Upgrade,Growth,Pro,2905
EVT00060,CUST0023,2023-01-05,New,,Pro,4979.17
EVT00061,CUST0024,2023-01-20,New,,Growth,2499
EVT00062,CUST0024,2023-06-19,Upgrade,Growth,Pro,3500
EVT00063,CUST0024,2023-09-27,Downgrade,Pro,Growth,-3500
EVT00064,CUST0024,2024-03-06,Downgrade,Growth,Starter,-1500
EVT00065,CUST0024,2024-12-13,Churn,Starter,,-999
EVT00066,CUST0024,2025-04-24,Reactivation,,Starter,999
EVT00067,CUST0024,2025-06-23,Churn,Starter,,-999
EVT00068,CUST0025,2023-01-31,New,,Starter,999
EVT00069,CUST0025,2024-03-10,Upgrade,Starter,Growth,1500
EVT00070,CUST0025,2024-07-05,Upgrade,Growth,Pro,3500
EVT00071,CUST0025,2024-10-06,Churn,Pro,,-5999
EVT00072,CUST0026,2023-01-09,New,,Growth,2499
EVT00073,CUST0026,2023-02-24,Upgrade,Growth,Pro,3500
EVT00074,CUST0026,2023-09-01,Churn,Pro,,-5999
EVT00075,CUST0027,2023-01-01,New,,Starter,999
EVT00076,CUST0027,2024-08-31,Churn,Starter,,-999
EVT00077,CUST0028,2023-01-04,New,,Pro,5999
EVT00078,CUST0028,2023-02-23,Churn,Pro,,-5999
EVT00079,CUST0029,2023-01-25,New,,Growth,2499
EVT00080,CUST0029,2024-02-19,Churn,Growth,,-2499
EVT00081,CUST0029,2024-07-28,Reactivation,,Growth,2499
EVT00082,CUST0029,2025-04-25,Downgrade,Growth,Starter,-1500
EVT00083,CUST0029,2025-09-19,Churn,Starter,,-999
EVT00084,CUST0030,2023-01-30,New,,Enterprise,12449.17
EVT00085,CUST0030,2024-03-02,Downgrade,Enterprise,Pro,-7470
EVT00086,CUST0031,2023-01-30,New,,Starter,999
EVT00087,CUST0031,2023-11-06,Churn,Starter,,-999
EVT00088,CUST0032,2023-01-19,New,,Starter,999
EVT00089,CUST0032,2025-07-20,Upgrade,Starter,Growth,1500
EVT00090,CUST0033,2023-01-25,New,,Growth,2074.17
EVT00091,CUST0034,2023-02-18,New,,Starter,999
EVT00092,CUST0034,2025-07-11,Churn,Starter,,-999
EVT00093,CUST0035,2023-02-07,New,,Growth,2499
EVT00094,CUST0035,2024-05-08,Downgrade,Growth,Starter,-1500
EVT00095,CUST0035,2025-03-21,Churn,Starter,,-999
EVT00096,CUST0036,2023-02-22,New,,Growth,2499
EVT00097,CUST0036,2023-04-19,Downgrade,Growth,Starter,-1500
EVT00098,CUST0036,2024-10-04,Upgrade,Starter,Growth,1500
EVT00099,CUST0037,2023-02-08,New,,Pro,5999
EVT00100,CUST0037,2024-02-16,Upgrade,Pro,Enterprise,9000
EVT00101,CUST0038,2023-02-08,New,,Starter,999
EVT00102,CUST0038,2023-04-05,Churn,Starter,,-999
EVT00103,CUST0039,2023-02-02,New,,Starter,829.17
EVT00104,CUST0039,2025-09-11,Churn,Starter,,-829.17
EVT00105,CUST0040,2023-02-03,New,,Pro,4979.17
EVT00106,CUST0041,2023-02-18,New,,Starter,999
EVT00107,CUST0041,2023-05-24,Upgrade,Starter,Growth,1500
EVT00108,CUST0041,2024-11-03,Downgrade,Growth,Starter,-1500
EVT00109,CUST0041,2024-12-08,Churn,Starter,,-999
EVT00110,CUST0042,2023-02-16,New,,Growth,2499
EVT00111,CUST0042,2023-04-12,Upgrade,Growth,Pro,3500
EVT00112,CUST0043,2023-02-12,New,,Starter,999
EVT00113,CUST0043,2024-02-11,Churn,Starter,,-999
EVT00114,CUST0043,2024-05-21,Reactivation,,Starter,999
EVT00115,CUST0043,2025-08-29,Churn,Starter,,-999
EVT00116,CUST0044,2023-02-22,New,,Growth,2074.17
EVT00117,CUST0045,2023-02-28,New,,Starter,999
EVT00118,CUST0045,2023-07-31,Upgrade,Starter,Growth,1500
EVT00119,CUST0046,2023-02-05,New,,Starter,999
EVT00120,CUST0046,2024-09-03,Upgrade,Starter,Growth,1500
EVT00121,CUST0046,2025-02-27,Churn,Growth,,-2499
EVT00122,CUST0046,2025-06-15,Reactivation,,Growth,2499
EVT00123,CUST0046,2025-09-01,Churn,Growth,,-2499
EVT00124,CUST0047,2023-02-03,New,,Starter,999
EVT00125,CUST0047,2023-06-09,Churn,Starter,,-999
EVT00126,CUST0048,2023-02-18,New,,Starter,999
EVT00127,CUST0048,2025-10-07,Churn,Starter,,-999
EVT00128,CUST0049,2023-02-06,New,,Pro,4979.17
EVT00129,CUST0049,2023-09-08,Downgrade,Pro,Growth,-2905
EVT00130,CUST0049,2025-03-23,Downgrade,Growth,Starter,-1245
EVT00131,CUST0050,2023-02-02,New,,Growth,2074.17
EVT00132,CUST0051,2023-02-26,New,,Starter,999
EVT00133,CUST0051,2023-10-03,Churn,Starter,,-999
EVT00134,CUST0052,2023-02-26,New,,Starter,829.17
EVT00135,CUST0053,2023-02-02,New,,Starter,999
EVT00136,CUST0053,2024-08-12,Upgrade,Starter,Growth,1500
EVT00137,CUST0053,2025-01-09,Downgrade,Growth,Starter,-1500
EVT00138,CUST0054,2023-02-02,New,,Starter,999
EVT00139,CUST0055,2023-02-06,New,,Growth,2074.17
EVT00140,CUST0055,2025-10-26,Upgrade,Growth,Pro,2905
EVT00141,CUST0056,2023-02-20,New,,Starter,999
EVT00142,CUST0056,2024-12-04,Upgrade,Starter,Growth,1500
EVT00143,CUST0057,2023-03-19,New,,Starter,829.17
EVT00144,CUST0057,2024-04-24,Churn,Starter,,-829.17
EVT00145,CUST0058,2023-03-14,New,,Growth,2499
EVT00146,CUST0058,2023-05-01,Upgrade,Growth,Pro,3500
EVT00147,CUST0059,2023-03-07,New,,Growth,2074.17
EVT00148,CUST0059,2023-12-02,Downgrade,Growth,Starter,-1245
EVT00149,CUST0060,2023-03-21,New,,Starter,999
EVT00150,CUST0061,2023-03-03,New,,Starter,829.17
EVT00151,CUST0061,2023-07-13,Upgrade,Starter,Growth,1245
EVT00152,CUST0061,2024-03-15,Downgrade,Growth,Starter,-1245
EVT00153,CUST0061,2025-05-24,Upgrade,Starter,Growth,1245
EVT00154,CUST0062,2023-03-04,New,,Growth,2499
EVT00155,CUST0063,2023-03-30,New,,Starter,999
EVT00156,CUST0064,2023-03-06,New,,Pro,5999
EVT00157,CUST0064,2024-12-14,Churn,Pro,,-5999
EVT00158,CUST0065,2023-03-26,New,,Growth,2499
EVT00159,CUST0065,2023-06-06,Upgrade,Growth,Pro,3500
EVT00160,CUST0066,2023-03-30,New,,Growth,2499
EVT00161,CUST0066,2025-02-14,Churn,Growth,,-2499
EVT00162,CUST0067,2023-03-24,New,,Starter,829.17
EVT00163,CUST0067,2023-10-16,Upgrade,Starter,Growth,1245
EVT00164,CUST0067,2024-07-29,Upgrade,Growth,Pro,2905
EVT00165,CUST0068,2023-03-23,New,,Starter,999
EVT00166,CUST0068,2023-04-13,Churn,Starter,,-999
EVT00167,CUST0069,2023-03-17,New,,Growth,2074.17
EVT00168,CUST0069,2024-01-12,Downgrade,Growth,Starter,-1245
EVT00169,CUST0069,2024-10-18,Upgrade,Starter,Growth,1245
EVT00170,CUST0069,2025-01-13,Upgrade,Growth,Pro,2905
EVT00171,CUST0070,2023-03-03,New,,Pro,4979.17
EVT00172,CUST0071,2023-03-05,New,,Starter,999
EVT00173,CUST0071,2024-06-04,Upgrade,Starter,Growth,1500
EVT00174,CUST0071,2025-01-27,Upgrade,Growth,Pro,3500
EVT00175,CUST0071,2025-06-16,Churn,Pro,,-5999
EVT00176,CUST0072,2023-03-14,New,,Growth,2499
EVT00177,CUST0072,2023-10-26,Churn,Growth,,-2499
EVT00178,CUST0073,2023-03-23,New,,Starter,829.17
EVT00179,CUST0073,2023-09-28,Upgrade,Starter,Growth,1245
EVT00180,CUST0073,2024-05-19,Downgrade,Growth,Starter,-1245
EVT00181,CUST0073,2024-11-21,Upgrade,Starter,Growth,1245
EVT00182,CUST0074,2023-03-18,New,,Starter,999
EVT00183,CUST0074,2024-06-25,Churn,Starter,,-999
EVT00184,CUST0075,2023-03-29,New,,Starter,999
EVT00185,CUST0075,2024-07-22,Churn,Starter,,-999
EVT00186,CUST0076,2023-03-04,New,,Starter,999
EVT00187,CUST0076,2024-08-08,Churn,Starter,,-999
EVT00188,CUST0077,2023-03-20,New,,Pro,5999
EVT00189,CUST0077,2023-05-06,Upgrade,Pro,Enterprise,9000
EVT00190,CUST0077,2023-09-15,Downgrade,Enterprise,Pro,-9000
EVT00191,CUST0077,2024-05-03,Upgrade,Pro,Enterprise,9000
EVT00192,CUST0078,2023-04-26,New,,Pro,4979.17
EVT00193,CUST0078,2023-07-26,Downgrade,Pro,Growth,-2905
EVT00194,CUST0078,2024-03-28,Downgrade,Growth,Starter,-1245
EVT00195,CUST0079,2023-04-11,New,,Starter,829.17
EVT00196,CUST0080,2023-04-04,New,,Starter,829.17
EVT00197,CUST0081,2023-04-27,New,,Pro,5999
EVT00198,CUST0081,2025-11-02,Upgrade,Pro,Enterprise,9000
EVT00199,CUST0082,2023-04-08,New,,Starter,829.17
EVT00200,CUST0082,2025-02-10,Churn,Starter,,-829.17
EVT00201,CUST0083,2023-04-09,New,,Growth,2499
EVT00202,CUST0083,2025-01-01,Upgrade,Growth,Pro,3500
EVT00203,CUST0084,2023-04-22,New,,Starter,999
EVT00204,CUST0084,2024-10-11,Churn,Starter,,-999
EVT00205,CUST0084,2025-02-04,Reactivation,,Starter,999
EVT00206,CUST0085,2023-04-09,New,,Enterprise,14999
EVT00207,CUST0085,2025-03-03,Churn,Enterprise,,-14999
EVT00208,CUST0085,2025-07-06,Reactivation,,Enterprise,14999
EVT00209,CUST0085,2025-10-29,Downgrade,Enterprise,Pro,-9000
EVT00210,CUST0086,2023-04-04,New,,Enterprise,14999
EVT00211,CUST0086,2023-08-13,Churn,Enterprise,,-14999
EVT00212,CUST0087,2023-04-14,New,,Starter,829.17
EVT00213,CUST0088,2023-04-07,New,,Starter,829.17
EVT00214,CUST0089,2023-04-30,New,,Growth,2499
EVT00215,CUST0089,2024-09-06,Downgrade,Growth,Starter,-1500
EVT00216,CUST0090,2023-05-22,New,,Starter,999
EVT00217,CUST0090,2023-07-24,Upgrade,Starter,Growth,1500
EVT00218,CUST0090,2024-03-03,Upgrade,Growth,Pro,3500
EVT00219,CUST0090,2024-08-18,Downgrade,Pro,Growth,-3500
EVT00220,CUST0091,2023-05-24,New,,Starter,829.17
EVT00221,CUST0091,2024-05-31,Upgrade,Starter,Growth,1245
EVT00222,CUST0091,2024-10-29,Upgrade,Growth,Pro,2905
EVT00223,CUST0092,2023-05-13,New,,Starter,999
EVT00224,CUST0092,2023-09-03,Churn,Starter,,-999
EVT00225,CUST0093,2023-05-31,New,,Starter,999
EVT00226,CUST0093,2023-07-11,Churn,Starter,,-999
EVT00227,CUST0094,2023-05-18,New,,Growth,2499
EVT00228,CUST0094,2023-11-20,Upgrade,Growth,Pro,3500
EVT00229,CUST0094,2024-03-20,Churn,Pro,,-5999
EVT00230,CUST0095,2023-05-19,New,,Starter,999
EVT00231,CUST0095,2024-02-29,Churn,Starter,,-999
EVT00232,CUST0096,2023-05-07,New,,Growth,2499
EVT00233,CUST0096,2023-08-16,Churn,Growth,,-2499
EVT00234,CUST0097,2023-05-24,New,,Pro,4979.17
EVT00235,CUST0097,2024-12-23,Downgrade,Pro,Growth,-2905
EVT00236,CUST0098,2023-05-20,New,,Starter,999
EVT00237,CUST0099,2023-05-22,New,,Pro,4979.17
EVT00238,CUST0100,2023-05-02,New,,Pro,5999
EVT00239,CUST0100,2024-12-01,Upgrade,Pro,Enterprise,9000
EVT00240,CUST0101,2023-05-15,New,,Growth,2074.17
EVT00241,CUST0101,2024-02-14,Upgrade,Growth,Pro,2905
EVT00242,CUST0101,2025-02-21,Churn,Pro,,-4979.17
EVT00243,CUST0102,2023-05-16,New,,Starter,999
EVT00244,CUST0102,2024-11-06,Churn,Starter,,-999
EVT00245,CUST0103,2023-05-29,New,,Starter,999
EVT00246,CUST0103,2025-04-20,Upgrade,Starter,Growth,1500
EVT00247,CUST0104,2023-05-23,New,,Starter,829.17
EVT00248,CUST0105,2023-05-28,New,,Starter,999
EVT00249,CUST0105,2023-06-29,Upgrade,Starter,Growth,1500
EVT00250,CUST0105,2023-07-14,Upgrade,Growth,Pro,3500
EVT00251,CUST0105,2024-03-06,Downgrade,Pro,Growth,-3500
EVT00252,CUST0105,2025-08-02,Upgrade,Growth,Pro,3500
EVT00253,CUST0106,2023-06-17,New,,Starter,999
EVT00254,CUST0106,2025-08-04,Churn,Starter,,-999
EVT00255,CUST0107,2023-06-15,New,,Starter,829.17
EVT00256,CUST0107,2023-08-11,Upgrade,Starter,Growth,1245
EVT00257,CUST0107,2024-03-07,Churn,Growth,,-2074.17
EVT00258,CUST0108,2023-06-15,New,,Starter,829.17
EVT00259,CUST0108,2023-12-07,Upgrade,Starter,Growth,1245
EVT00260,CUST0109,2023-06-27,New,,Growth,2074.17
EVT00261,CUST0109,2024-02-14,Downgrade,Growth,Starter,-1245
EVT00262,CUST0109,2024-05-23,Churn,Starter,,-829.17
EVT00263,CUST0110,2023-06-15,New,,Growth,2499
EVT00264,CUST0110,2023-08-18,Downgrade,Growth,Starter,-1500
EVT00265,CUST0110,2024-11-24,Churn,Starter,,-999
EVT00266,CUST0111,2023-06-29,New,,Starter,999
EVT00267,CUST0111,2024-11-30,Churn,Starter,,-999
EVT00268,CUST0112,2023-06-23,New,,Starter,999
EVT00269,CUST0113,2023-06-18,New,,Starter,999
EVT00270,CUST0114,2023-06-13,New,,Starter,829.17
EVT00271,CUST0114,2025-01-24,Churn,Starter,,-829.17
EVT00272,CUST0115,2023-06-13,New,,Pro,4979.17
EVT00273,CUST0116,2023-06-13,New,,Enterprise,14999
EVT00274,CUST0116,2023-08-18,Downgrade,Enterprise,Pro,-9000
EVT00275,CUST0116,2025-09-09,Downgrade,Pro,Growth,-3500
EVT00276,CUST0117,2023-06-20,New,,Growth,2499
EVT00277,CUST0118,2023-06-01,New,,Starter,999
EVT00278,CUST0118,2023-11-22,Upgrade,Starter,Growth,1500
EVT00279,CUST0118,2024-03-10,Downgrade,Growth,Starter,-1500
EVT00280,CUST0118,2025-04-10,Churn,Starter,,-999
EVT00281,CUST0119,2023-06-24,New,,Growth,2074.17
EVT00282,CUST0119,2025-06-08,Downgrade,Growth,Starter,-1245
EVT00283,CUST0119,2025-09-04,Churn,Starter,,-829.17
EVT00284,CUST0120,2023-06-18,New,,Pro,4979.17
EVT00285,CUST0120,2024-06-02,Upgrade,Pro,Enterprise,7470
EVT00286,CUST0120,2025-09-13,Churn,Enterprise,,-12449.17
EVT00287,CUST0121,2023-06-03,New,,Growth,2499
EVT00288,CUST0121,2024-04-18,Churn,Growth,,-2499
EVT00289,CUST0122,2023-06-09,New,,Pro,5999
EVT00290,CUST0123,2023-06-25,New,,Starter,999
EVT00291,CUST0123,2023-12-27,Churn,Starter,,-999
EVT00292,CUST0124,2023-06-09,New,,Pro,4979.17
EVT00293,CUST0124,2025-08-16,Downgrade,Pro,Growth,-2905
EVT00294,CUST0125,2023-06-12,New,,Starter,999
EVT00295,CUST0125,2024-08-05,Churn,Starter,,-999
EVT00296,CUST0126,2023-07-25,New,,Pro,5999
EVT00297,CUST0126,2023-12-02,Downgrade,Pro,Growth,-3500
EVT00298,CUST0126,2024-01-12,Downgrade,Growth,Starter,-1500
EVT00299,CUST0126,2024-02-01,Churn,Starter,,-999
EVT00300,CUST0127,2023-07-05,New,,Starter,999
EVT00301,CUST0127,2024-07-14,Churn,Starter,,-999
EVT00302,CUST0128,2023-07-31,New,,Growth,2499
EVT00303,CUST0128,2024-06-03,Churn,Growth,,-2499
EVT00304,CUST0129,2023-07-06,New,,Growth,2074.17
EVT00305,CUST0129,2024-12-10,Downgrade,Growth,Starter,-1245
EVT00306,CUST0130,2023-07-25,New,,Enterprise,12449.17
EVT00307,CUST0130,2024-04-27,Downgrade,Enterprise,Pro,-7470
EVT00308,CUST0130,2024-09-22,Upgrade,Pro,Enterprise,7470
EVT00309,CUST0131,2023-07-10,New,,Starter,999
EVT00310,CUST0131,2023-09-21,Churn,Starter,,-999
EVT00311,CUST0132,2023-07-03,New,,Starter,829.17
EVT00312,CUST0133,2023-07-28,New,,Starter,829.17
EVT00313,CUST0133,2024-10-20,Churn,Starter,,-829.17
EVT00314,CUST0134,2023-07-02,New,,Pro,5999
EVT00315,CUST0134,2023-10-16,Downgrade,Pro,Growth,-3500
EVT00316,CUST0134,2024-08-07,Churn,Growth,,-2499
EVT00317,CUST0134,2024-10-01,Reactivation,,Growth,2499
EVT00318,CUST0134,2025-03-07,Churn,Growth,,-2499
EVT00319,CUST0135,2023-07-17,New,,Starter,999
EVT00320,CUST0135,2023-10-06,Churn,Starter,,-999
EVT00321,CUST0136,2023-07-04,New,,Pro,4979.17
EVT00322,CUST0136,2025-11-21,Churn,Pro,,-4979.17
EVT00323,CUST0137,2023-07-23,New,,Growth,2074.17
EVT00324,CUST0137,2024-05-10,Churn,Growth,,-2074.17
EVT00325,CUST0138,2023-07-21,New,,Starter,999
EVT00326,CUST0138,2025-10-03,Upgrade,Starter,Growth,1500
EVT00327,CUST0138,2025-11-16,Churn,Growth,,-2499
EVT00328,CUST0139,2023-07-16,New,,Pro,5999
EVT00329,CUST0140,2023-07-11,New,,Pro,5999
EVT00330,CUST0141,2023-07-25,New,,Starter,999
EVT00331,CUST0141,2023-11-28,Upgrade,Starter,Growth,1500
EVT00332,CUST0141,2024-10-04,Churn,Growth,,-2499
EVT00333,CUST0142,2023-07-01,New,,Growth,2499
EVT00334,CUST0142,2025-12-10,Downgrade,Growth,Starter,-1500
EVT00335,CUST0143,2023-08-26,New,,Starter,999
EVT00336,CUST0143,2024-02-26,Churn,Starter,,-999
EVT00337,CUST0144,2023-08-29,New,,Starter,999
EVT00338,CUST0144,2023-10-13,Upgrade,Starter,Growth,1500
EVT00339,CUST0144,2025-01-16,Downgrade,Growth,Starter,-1500
EVT00340,CUST0145,2023-08-03,New,,Starter,829.17
EVT00341,CUST0145,2025-12-16,Upgrade,Starter,Growth,1245
EVT00342,CUST0146,2023-08-23,New,,Growth,2074.17
EVT00343,CUST0147,2023-08-10,New,,Starter,999
EVT00344,CUST0148,2023-08-19,New,,Growth,2499
EVT00345,CUST0148,2024-06-29,Downgrade,Growth,Starter,-1500
EVT00346,CUST0149,2023-08-24,New,,Growth,2499
EVT00347,CUST0149,2024-06-22,Churn,Growth,,-2499
EVT00348,CUST0150,2023-08-10,New,,Starter,999
EVT00349,CUST0150,2024-03-09,Churn,Starter,,-999
EVT00350,CUST0151,2023-08-04,New,,Starter,999
EVT00351,CUST0151,2023-11-03,Churn,Starter,,-999
EVT00352,CUST0152,2023-08-09,New,,Starter,829.17
EVT00353,CUST0152,2025-02-21,Upgrade,Starter,Growth,1245
EVT00354,CUST0153,2023-08-27,New,,Growth,2074.17
EVT00355,CUST0153,2023-12-18,Downgrade,Growth,Starter,-1245
EVT00356,CUST0153,2025-12-13,Upgrade,Starter,Growth,1245
EVT00357,CUST0154,2023-08-01,New,,Starter,999
EVT00358,CUST0154,2024-11-06,Churn,Starter,,-999
EVT00359,CUST0155,2023-08-18,New,,Starter,829.17
EVT00360,CUST0155,2023-09-12,Upgrade,Starter,Growth,1245
EVT00361,CUST0155,2024-04-29,Downgrade,Growth,Starter,-1245
EVT00362,CUST0156,2023-08-04,New,,Growth,2074.17
EVT00363,CUST0156,2025-12-13,Downgrade,Growth,Starter,-1245
EVT00364,CUST0157,2023-08-11,New,,Starter,999
EVT00365,CUST0158,2023-08-04,New,,Starter,829.17
EVT00366,CUST0159,2023-08-22,New,,Growth,2499
EVT00367,CUST0159,2024-02-12,Churn,Growth,,-2499
EVT00368,CUST0159,2024-05-15,Reactivation,,Growth,2499
EVT00369,CUST0159,2025-10-02,Upgrade,Growth,Pro,3500
EVT00370,CUST0160,2023-08-10,New,,Starter,999
EVT00371,CUST0161,2023-08-20,New,,Starter,829.17
EVT00372,CUST0162,2023-09-15,New,,Starter,999
EVT00373,CUST0162,2023-12-09,Churn,Starter,,-999
EVT00374,CUST0163,2023-09-10,New,,Pro,4979.17
EVT00375,CUST0164,2023-09-04,New,,Starter,829.17
EVT00376,CUST0165,2023-09-08,New,,Starter,999
EVT00377,CUST0165,2024-03-15,Churn,Starter,,-999
EVT00378,CUST0166,2023-09-15,New,,Starter,999
EVT00379,CUST0166,2024-03-15,Churn,Starter,,-999
EVT00380,CUST0167,2023-09-23,New,,Starter,999
EVT00381,CUST0167,2023-12-09,Churn,Starter,,-999
EVT00382,CUST0168,2023-09-09,New,,Starter,999
EVT00383,CUST0168,2024-05-08,Churn,Starter,,-999
EVT00384,CUST0169,2023-09-21,New,,Starter,999
EVT00385,CUST0169,2024-07-27,Churn,Starter,,-999
EVT00386,CUST0170,2023-09-06,New,,Pro,5999
EVT00387,CUST0171,2023-09-10,New,,Growth,2499
EVT00388,CUST0171,2024-10-09,Downgrade,Growth,Starter,-1500
EVT00389,CUST0171,2025-12-19,Churn,Starter,,-999
EVT00390,CUST0172,2023-09-13,New,,Growth,2499
EVT00391,CUST0172,2024-06-02,Upgrade,Growth,Pro,3500
EVT00392,CUST0172,2025-10-05,Upgrade,Pro,Enterprise,9000
EVT00393,CUST0173,2023-09-20,New,,Growth,2499
EVT00394,CUST0173,2024-04-25,Upgrade,Growth,Pro,3500
EVT00395,CUST0173,2025-11-23,Downgrade,Pro,Growth,-3500
EVT00396,CUST0174,2023-09-01,New,,Growth,2499
EVT00397,CUST0174,2024-01-22,Churn,Growth,,-2499
EVT00398,CUST0175,2023-09-19,New,,Enterprise,12449.17
EVT00399,CUST0175,2025-08-04,Downgrade,Enterprise,Pro,-7470
EVT00400,CUST0176,2023-09-09,New,,Enterprise,14999
EVT00401,CUST0176,2024-03-03,Churn,Enterprise,,-14999
EVT00402,CUST0177,2023-09-17,New,,Pro,5999
EVT00403,CUST0177,2025-06-22,Churn,Pro,,-5999
EVT00404,CUST0177,2025-10-26,Reactivation,,Pro,5999
EVT00405,CUST0178,2023-09-21,New,,Starter,999
EVT00406,CUST0178,2024-11-18,Upgrade,Starter,Growth,1500
EVT00407,CUST0179,2023-09-11,New,,Growth,2499
EVT00408,CUST0179,2024-10-14,Churn,Growth,,-2499
EVT00409,CUST0180,2023-09-10,New,,Starter,999
EVT00410,CUST0180,2025-07-25,Churn,Starter,,-999
EVT00411,CUST0181,2023-09-09,New,,Starter,999
EVT00412,CUST0181,2024-05-19,Upgrade,Starter,Growth,1500
EVT00413,CUST0181,2024-11-08,Churn,Growth,,-2499
EVT00414,CUST0181,2025-05-02,Reactivation,,Growth,2499
EVT00415,CUST0182,2023-09-17,New,,Enterprise,14999
EVT00416,CUST0182,2024-01-27,Downgrade,Enterprise,Pro,-9000
EVT00417,CUST0182,2024-12-13,Downgrade,Pro,Growth,-3500
EVT00418,CUST0182,2025-09-27,Churn,Growth,,-2499
EVT00419,CUST0183,2023-09-17,New,,Growth,2499
EVT00420,CUST0183,2024-05-17,Upgrade,Growth,Pro,3500
EVT00421,CUST0183,2025-08-14,Downgrade,Pro,Growth,-3500
EVT00422,CUST0184,2023-09-25,New,,Pro,5999
EVT00423,CUST0184,2025-08-31,Churn,Pro,,-5999
EVT00424,CUST0185,2023-10-10,New,,Starter,999
EVT00425,CUST0186,2023-10-20,New,,Starter,829.17
EVT00426,CUST0186,2024-12-18,Upgrade,Starter,Growth,1245
EVT00427,CUST0186,2025-11-22,Churn,Growth,,-2074.17
EVT00428,CUST0187,2023-10-14,New,,Starter,999
EVT00429,CUST0187,2024-03-28,Churn,Starter,,-999
EVT00430,CUST0188,2023-10-15,New,,Enterprise,12449.17
EVT00431,CUST0188,2024-06-30,Downgrade,Enterprise,Pro,-9000
EVT00432,CUST0189,2023-10-17,New,,Growth,2074.17
